,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.84,0.19,1.67,0.39,1.71,0.36,1.2,1.92,1.27,1.53,0.94
TEMP_0,0.18,2.12,0.34,1.84,0.28,1.85,1.16,1.81,1.14,1.41,2.25
PRES_0,1.69,0.34,1.91,0.13,1.65,0.42,1.21,1.88,1.22,1.59,1.18
PRES_1,0.41,1.87,0.14,2.05,0.4,1.72,1.15,1.86,1.21,1.34,1.95
DEWP_1,1.72,0.32,1.64,0.41,1.92,0.11,1.25,1.55,1.21,1.59,1.08
DEWP_0,0.38,1.9,0.43,1.75,0.11,2.05,1.11,2.2,1.22,1.34,2.05
WSPM_0,1.08,1.07,1.08,1.04,1.12,0.95,1.26,1.31,1.15,1.54,1.68
WSPM_1,1.03,1.13,0.99,1.14,0.77,1.4,0.9,3.84,1.43,1.21,1.07
PM10_0,1.09,1.03,1.02,1.07,1.02,1.07,1.14,2.33,1.7,0.76,0.28
PM10_1,1.12,1.06,1.15,0.97,1.14,0.96,1.23,1.35,0.67,2.72,1.44
PM10_2,0.64,1.63,0.84,1.39,0.73,1.4,1.25,0.75,0.11,1.39,11.27
