,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,3.43,0.4,3.23,0.8,3.31,0.74,1.55,8.68,2.24,4.52,12.01
TEMP_0,0.33,4.58,0.66,3.81,0.54,3.82,1.49,8.19,2.01,4.17,28.63
PRES_0,3.14,0.74,3.7,0.28,3.19,0.87,1.55,8.51,2.14,4.72,15.02
PRES_1,0.76,4.05,0.27,4.25,0.78,3.56,1.48,8.4,2.13,3.97,24.74
DEWP_1,3.2,0.68,3.18,0.84,3.72,0.23,1.6,7.03,2.13,4.71,13.71
DEWP_0,0.71,4.1,0.83,3.64,0.21,4.24,1.43,9.98,2.14,3.98,26.11
WSPM_0,2.01,2.31,2.08,2.15,2.17,1.96,1.62,5.92,2.02,4.57,21.42
WSPM_1,1.92,2.45,1.91,2.36,1.5,2.89,1.16,17.39,2.52,3.6,13.65
PM10_0,2.04,2.23,1.98,2.22,1.98,2.21,1.47,10.56,2.99,2.24,3.54
PM10_1,2.08,2.29,2.23,2.02,2.21,1.98,1.58,6.11,1.19,8.07,18.27
PM10_2,1.19,3.51,1.62,2.89,1.42,2.9,1.6,3.4,0.2,4.12,143.33
