,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.42,1.03,1.26,0.7,0.98,1.45,1.34,2.07,1.45,1.67,1.78
TEMP_0,0.79,1.88,0.79,1.68,1.4,0.53,1.32,1.96,1.41,1.54,1.85
PRES_0,1.36,1.15,1.34,0.58,1.01,1.4,1.34,2.05,1.42,1.67,1.8
PRES_1,0.81,1.79,0.58,2.06,1.41,0.48,1.32,1.99,1.46,1.51,1.83
DEWP_0,0.99,1.73,0.9,1.47,1.48,0.55,1.32,2.0,1.44,1.55,1.97
DEWP_1,1.39,0.91,1.29,0.59,0.72,1.76,1.34,2.07,1.43,1.7,1.6
WSPM_0,1.16,1.38,1.07,1.12,1.11,1.09,1.34,2.0,1.41,1.63,1.74
WSPM_1,1.18,1.36,1.09,1.02,1.21,1.06,1.32,2.08,1.48,1.59,1.94
PM10_0,1.12,1.37,1.03,1.14,1.18,1.04,1.32,2.07,1.65,1.43,1.35
PM10_1,1.21,1.34,1.09,1.03,1.1,1.11,1.34,2.04,1.37,1.8,1.64
PM10_2,1.22,1.49,1.25,1.07,1.2,1.14,1.34,1.79,0.58,1.71,5.1
