,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
E,1.25,1.13,1.21,1.03,0.8,0.68,0.95,1.18,0.8,1.03,0.77,0.91,0.8,0.92,0.76,0.82,0.96,1.08,0.98,1.14,1.0,1.0,,1.0,,1.0,1.11,1.0,0.84
ENE,1.15,1.25,0.98,1.28,0.73,0.68,1.1,0.82,0.69,0.79,0.88,1.1,1.01,1.04,0.99,1.04,0.99,1.02,1.0,1.04,1.0,1.0,,1.0,,1.0,1.36,1.0,0.79
ESE,1.23,1.05,1.35,0.85,0.82,0.74,0.87,1.39,1.05,1.11,0.6,0.83,0.65,0.61,0.74,0.81,0.96,1.36,0.98,1.28,1.0,1.0,,1.0,,1.0,0.76,1.0,0.99
NE,0.96,1.23,0.78,1.55,0.69,0.78,1.51,0.77,0.59,0.6,0.95,1.23,1.16,1.27,1.13,1.16,1.02,0.68,1.01,0.85,1.0,1.0,,1.0,,1.0,1.3,1.0,0.77
SSW,0.84,0.66,0.92,0.58,1.88,1.72,0.58,1.08,1.72,1.37,1.19,0.56,0.46,0.4,0.57,0.83,1.01,1.12,1.02,1.03,1.0,1.0,,1.0,,1.0,,1.0,1.27
SW,0.78,0.8,0.86,0.76,1.67,1.79,0.63,0.89,1.52,1.15,1.62,0.66,0.66,0.5,0.99,1.11,1.02,0.93,1.01,0.91,1.0,1.0,,1.0,,1.0,,1.0,1.26
NNE,0.93,1.27,0.77,1.54,0.47,0.65,1.78,0.61,0.41,0.43,0.97,1.61,1.17,1.58,1.01,1.0,1.03,0.68,1.02,0.76,1.0,1.0,,1.0,,1.0,1.42,1.0,0.74
SE,1.16,0.91,1.3,0.83,0.94,0.84,0.84,1.65,1.19,1.6,0.68,0.69,0.59,0.55,0.45,0.66,0.98,1.38,0.98,1.25,1.0,1.0,,1.0,,1.0,0.77,1.0,1.04
S,0.91,0.87,1.11,0.65,1.63,1.42,0.66,1.31,1.76,1.45,0.97,0.6,0.55,0.49,0.54,0.66,0.99,1.24,0.99,1.09,1.0,1.0,,1.0,,1.0,,1.0,1.21
SSE,1.03,0.82,1.31,0.7,1.26,1.1,0.69,1.53,1.48,1.8,0.65,0.72,0.52,0.51,0.54,0.78,0.96,1.24,0.98,1.16,1.0,1.0,,1.0,,1.0,1.02,1.0,1.1
WSW,0.78,0.74,0.78,0.79,1.37,1.59,0.72,0.83,1.31,0.99,2.02,0.78,0.99,0.68,1.19,1.68,1.04,0.77,1.01,0.83,1.0,1.0,,1.0,,1.0,,1.0,1.19
N,0.93,1.16,0.78,1.28,0.68,0.84,1.53,0.56,0.63,0.64,0.87,1.76,1.28,1.69,1.29,0.89,1.03,0.81,1.03,0.83,1.0,1.0,,1.0,,1.0,1.05,1.0,0.73
NW,0.69,0.85,0.73,0.97,0.54,0.69,1.08,0.45,0.45,0.6,0.93,1.43,2.76,2.54,2.45,1.17,1.03,0.69,1.01,0.68,1.0,1.0,,1.0,4.66,1.0,1.83,0.97,1.27
NNW,0.91,0.99,0.81,1.19,0.45,0.67,1.35,0.54,0.43,0.42,0.76,1.64,2.35,2.54,2.0,1.07,1.02,0.82,1.01,1.0,1.0,1.0,,1.0,,1.0,2.39,0.98,1.17
WNW,0.82,0.86,0.77,0.89,0.73,0.85,1.08,0.66,0.72,0.52,1.21,1.33,2.29,1.77,2.26,1.75,1.03,0.86,1.03,0.72,1.0,1.0,,1.0,,1.0,,1.0,1.15
W,0.8,0.68,0.91,0.62,1.34,1.47,0.67,0.95,1.09,0.98,1.96,0.93,1.52,0.98,1.57,1.74,1.05,0.58,1.02,0.69,1.0,1.0,,1.0,,1.0,,1.0,1.22
PM2.5_0,0.97,1.01,0.95,1.03,1.0,1.02,1.05,0.94,0.97,0.94,1.05,1.07,1.1,1.1,1.09,1.06,1.06,0.64,1.04,0.74,1.0,1.0,1.18,1.0,1.18,1.0,1.06,1.0,1.04
PM2.5_1,1.2,0.98,1.34,0.82,1.01,0.78,0.74,1.39,1.11,1.39,0.64,0.68,0.2,0.36,0.47,0.51,0.76,3.81,0.89,3.11,1.0,1.0,,1.0,,1.0,,1.0,0.73
PM10_0,0.98,1.01,0.97,1.03,0.98,0.99,1.04,0.94,0.97,0.94,1.03,1.06,1.08,1.06,1.06,1.03,1.04,0.78,1.03,0.77,1.0,1.0,1.14,1.0,1.11,1.0,1.03,1.0,1.02
PM10_1,1.15,0.95,1.27,0.82,1.14,0.96,0.73,1.5,1.17,1.43,0.77,0.63,0.24,0.45,0.49,0.61,0.8,3.14,0.87,3.36,1.0,1.0,,1.0,,1.0,,1.0,0.81
TEMP_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRES_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0
PRES_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.61,1.0,1.0,1.0,1.0
DEWP_0,0.91,0.94,,1.13,,,0.9,,,,,,2.54,4.09,,,1.04,,1.01,,0.98,0.98,,0.82,87.84,0.98,,0.9,1.46
RAIN_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,1.0
RAIN_1,0.82,1.09,0.81,1.19,0.89,,0.87,0.99,,1.02,,,,,,,0.98,,0.98,,1.0,1.0,,1.0,,1.0,13.63,0.92,1.43
WSPM_0,1.02,1.02,1.02,1.01,0.99,0.99,1.0,1.04,1.01,1.01,1.01,1.0,0.95,0.94,0.97,1.01,1.0,0.99,1.0,1.0,1.0,1.0,1.17,1.0,0.66,1.0,1.01,1.0,0.92
WSPM_1,0.89,0.91,0.89,0.96,1.03,1.04,1.01,0.77,0.95,0.92,0.93,1.02,1.29,1.37,1.2,0.92,1.02,1.08,1.01,1.0,1.0,1.0,,1.0,3.0,1.0,0.93,0.99,1.49
