,ENE,NW,NE,E,NNW,N,ESE,NNE,WNW,WSW,SE,SW,SSW,W,S,SSE,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,RAIN_0,WSPM_0,WSPM_1
ENE,3.38,0.23,2.24,2.01,0.4,0.74,1.29,1.52,0.31,0.66,0.96,0.55,0.57,0.59,0.56,0.62,0.42,2.28,0.45,2.2,0.34,,1.15,1.11,0.46,,0.34,16.05,0.29
NW,0.27,9.41,0.35,0.27,3.01,1.18,0.24,0.47,4.59,0.45,0.14,0.28,0.22,0.76,0.12,,4.94,0.28,2.72,0.42,0.45,,1.26,1.02,0.41,,0.45,0.17,8.67
NE,2.53,0.4,2.98,1.82,0.52,1.06,1.13,1.81,0.39,0.62,0.71,0.47,0.47,0.71,0.55,0.42,0.63,1.57,0.59,1.48,0.88,,1.07,0.94,1.2,,0.88,6.86,0.39
E,1.97,0.32,1.52,2.44,0.33,0.59,2.15,0.92,0.35,0.78,1.68,0.72,0.65,0.69,0.93,1.06,0.49,2.08,0.52,2.08,,,0.92,1.06,,,,19.97,0.28
NNW,0.34,3.81,0.64,0.34,5.82,3.24,0.2,1.08,1.68,0.28,0.19,0.14,0.19,0.39,,,5.08,0.26,5.41,0.29,0.58,,1.56,0.68,0.4,,0.58,0.32,5.6
N,0.7,1.5,1.29,0.63,3.84,3.64,0.41,1.87,0.86,0.37,0.23,0.39,0.17,0.43,0.27,0.42,1.7,0.61,1.87,0.64,0.55,,0.86,1.0,0.38,,0.55,0.73,2.1
ESE,1.44,0.19,1.01,1.99,0.32,0.5,2.44,0.77,0.25,0.73,2.69,0.84,1.38,0.64,1.56,2.31,0.57,1.87,0.61,1.73,,,1.41,0.77,,,,50.32,0.46
NNE,1.47,0.85,2.04,0.92,1.31,1.86,0.81,2.66,0.54,0.72,0.55,0.41,0.54,0.52,0.48,0.33,0.85,1.2,0.99,1.14,,,0.72,0.88,,,,1.39,0.78
WNW,0.37,6.81,0.29,0.31,1.48,0.86,0.33,0.5,5.75,1.05,0.29,0.52,0.43,2.49,0.36,0.3,3.0,0.39,1.99,0.58,,,0.54,1.37,,,,0.2,5.17
WSW,0.39,0.69,0.34,0.45,0.51,0.53,0.7,0.47,1.01,7.65,0.66,7.71,3.16,4.07,1.59,1.4,3.1,0.58,2.78,0.48,,,1.1,0.93,,,,16.44,1.45
SE,1.01,0.16,0.88,1.66,0.17,0.4,2.38,0.62,,0.58,4.56,1.24,2.23,0.68,3.42,5.72,0.76,1.59,0.8,1.49,,,1.21,1.27,,,,,0.39
SW,0.43,0.46,0.4,0.7,0.41,0.41,1.23,0.47,0.85,3.88,1.21,6.42,5.82,2.56,3.06,1.99,3.39,0.58,3.33,0.45,,,1.59,0.8,,,,14.08,1.15
SSW,0.57,0.28,0.35,0.73,0.33,0.42,1.55,0.67,0.8,1.62,2.71,5.07,5.78,1.23,5.35,3.73,2.13,0.5,2.17,0.43,,,0.77,1.27,,,,23.33,0.85
W,0.29,1.28,0.33,0.47,0.65,0.71,0.57,0.33,2.23,8.56,0.44,4.21,1.42,6.45,0.92,0.8,2.55,0.64,2.31,0.55,,,0.76,1.06,,,,1.99,1.62
S,0.81,0.23,0.55,1.06,0.27,0.29,2.12,0.48,0.45,1.17,3.77,2.08,4.65,1.07,6.2,4.04,1.32,0.85,1.81,0.78,,,0.69,1.24,,,,20.98,0.63
SSE,0.87,0.2,0.64,1.75,,0.38,2.82,0.56,,0.93,4.52,1.38,2.83,,4.86,4.67,1.06,1.28,1.62,1.15,,,0.93,0.91,,,,,0.51
PM2.5_0,0.74,1.43,0.84,0.71,1.39,1.25,0.75,1.02,1.35,1.03,0.78,1.0,0.96,1.08,0.9,0.83,14.71,0.3,10.01,0.34,0.84,1.13,1.4,0.77,0.9,0.41,0.84,0.71,1.58
PM2.5_1,2.28,0.17,1.58,2.49,0.21,0.44,1.95,0.92,0.19,0.91,1.69,1.0,1.13,0.73,1.28,1.5,0.11,30.47,0.15,15.86,2.01,,0.52,1.8,1.38,2.71,2.01,192.31,0.18
PM10_0,0.76,1.32,0.87,0.74,1.34,1.22,0.78,1.03,1.26,1.01,0.83,1.04,0.98,1.06,0.97,0.89,6.79,0.38,11.58,0.35,1.0,1.18,1.53,0.73,0.92,0.54,1.0,0.76,1.47
PM10_1,2.22,0.27,1.51,2.41,0.22,0.45,1.91,0.9,0.3,0.97,1.59,0.88,1.09,0.76,1.1,1.34,0.12,17.08,0.13,26.25,0.94,,0.45,2.01,1.3,2.54,0.94,7.4,0.22
TEMP_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TEMP_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRES_1,0.97,1.02,0.99,0.97,1.04,1.03,1.0,0.99,0.97,0.97,0.95,0.99,0.95,0.96,0.97,0.98,1.08,0.91,1.09,0.91,0.93,1.08,9.42,0.39,0.93,0.85,0.93,0.95,1.05
PRES_0,1.47,0.8,1.08,1.42,0.58,0.57,1.0,1.08,1.4,1.42,1.81,1.17,1.69,1.61,1.42,1.27,0.44,3.04,0.41,3.02,,,0.04,110.39,,,,2.68,0.52
DEWP_0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.01,0.99,1.01,0.99,1.0,1.0,1.02,0.99,1.22,0.74,1.0,1.0,1.0
DEWP_1,3.89,,27.65,,,,3.52,,,,,,,,,,,,,,,,0.11,,0.01,285.16,,,
RAIN_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WSPM_0,1.41,0.5,1.27,1.39,0.57,0.81,1.35,1.13,0.57,1.13,1.31,1.17,1.19,1.04,1.25,1.25,0.73,1.37,0.76,1.31,0.84,1.28,0.93,1.07,1.02,1.02,0.84,5.65,0.51
WSPM_1,0.3,4.3,0.46,0.31,3.04,1.65,0.28,0.67,2.83,0.65,0.28,0.56,0.51,0.9,0.37,0.35,5.75,0.3,3.75,0.38,2.09,,1.29,0.82,0.96,0.94,2.09,0.22,10.84
