,overcast clouds,sky is clear,mist,broken clouds,few clouds,light rain,scattered clouds,light intensity drizzle,moderate rain,drizzle,haze,heavy snow,proximity thunderstorm,temp_4,temp_3,temp_5,temp_2,temp_6,traffic_volume_2,traffic_volume_0,traffic_volume_1
overcast clouds,1.51,0.88,0.94,1.53,0.95,1.16,1.08,0.85,1.4,0.94,0.45,1.33,1.04,0.97,1.15,0.98,0.76,0.39,1.31,0.92,1.35
sky is clear,0.91,1.65,0.43,1.12,1.42,0.79,1.12,0.51,,,,,,1.18,1.11,0.99,1.28,1.17,1.01,1.29,1.22
mist,1.17,0.21,1.81,0.54,0.63,1.79,0.84,2.07,1.92,1.91,2.16,0.77,1.61,1.22,0.87,1.12,0.25,,1.09,1.44,1.56
broken clouds,1.18,1.11,0.5,1.67,1.49,1.0,1.67,1.51,0.74,0.73,0.6,0.54,,1.24,1.22,0.9,0.88,0.81,1.22,1.1,1.37
few clouds,0.96,1.47,0.4,1.36,1.83,,1.47,,,,,,,0.89,1.22,0.9,1.35,1.58,1.28,1.22,1.34
light rain,1.8,0.6,1.8,0.94,,2.11,,2.31,2.19,2.74,3.82,0.65,1.23,1.49,0.94,1.11,,,1.16,1.73,1.71
scattered clouds,1.24,1.52,0.69,1.5,1.32,,1.88,0.39,0.55,,0.91,1.09,,1.18,1.11,0.66,1.26,1.46,1.31,0.94,1.16
light intensity drizzle,2.09,0.67,1.76,0.72,,2.24,0.54,2.37,2.08,2.25,2.04,,1.31,1.43,0.61,1.41,,,1.22,1.69,1.64
moderate rain,1.71,,2.09,0.8,,2.4,0.7,3.07,2.87,4.13,2.34,1.12,1.7,1.65,1.12,1.47,,,1.41,1.81,1.93
drizzle,1.78,,2.16,,,2.58,,2.84,2.35,3.15,1.04,,,1.61,0.71,1.09,,,1.11,1.85,1.91
haze,2.02,,2.0,0.55,,1.27,1.03,3.7,2.38,1.22,2.91,,2.52,1.21,1.39,1.5,0.76,,1.51,1.03,1.54
fog,,,2.06,0.64,,2.34,,2.15,2.0,,1.41,,,1.21,,1.36,,,0.98,1.63,1.71
heavy snow,0.78,,2.12,0.96,,3.8,1.1,,3.94,,,3.63,,1.15,1.83,,,,1.52,,1.74
proximity thunderstorm,2.86,,2.14,,,2.23,,3.46,2.87,,,,4.17,,,2.21,,,1.2,,1.87
heavy intensity rain,1.38,,2.42,,,3.21,,,3.64,,,,,2.57,1.03,,,,0.83,,2.21
thunderstorm with light rain,,,2.61,,,3.06,,3.44,,,,,5.71,,,2.47,,,1.93,,
snow,,,2.61,,,3.06,,,3.93,,,,,,2.12,,,,,2.17,2.27
heavy intensity drizzle,,,2.61,,,,,,,,4.15,,,1.99,2.12,,,,,,2.27
proximity shower rain,,,,2.7,,,,,,,,,,,,2.47,,,1.93,,
proximity thunderstorm with rain,,,2.61,,,3.06,,,3.93,,,,,,2.12,,,,,,
temp_4,1.31,0.98,1.22,1.13,1.05,1.33,1.01,1.56,1.39,1.58,0.87,,,1.28,0.71,0.92,0.65,0.42,1.13,1.07,1.27
temp_3,1.19,0.98,1.05,1.19,1.1,1.43,1.17,1.42,1.4,1.85,1.32,1.22,,1.04,1.4,0.1,0.82,,1.06,1.3,1.51
temp_5,1.27,0.97,1.36,1.15,1.08,1.46,1.45,1.44,1.61,0.77,1.87,,2.31,0.82,0.68,1.67,,1.28,1.31,0.95,1.18
temp_2,0.9,1.6,1.16,1.59,1.61,,1.43,,,,1.41,,,0.58,1.24,,2.12,,0.63,1.96,1.59
temp_6,0.8,1.73,,1.88,1.37,,1.47,,,,,,,1.03,,1.28,,2.64,1.59,,0.51
temp_7,,3.41,,,1.08,,,,,,,,,,,,,3.36,1.75,,
traffic_volume_2,1.05,1.15,1.23,1.2,1.03,1.43,1.14,1.48,1.49,1.44,1.1,0.97,1.42,1.02,1.06,0.89,1.29,0.59,1.21,1.28,1.15
traffic_volume_0,1.4,0.85,1.04,1.17,1.11,1.16,0.99,1.22,1.31,1.49,1.32,,,1.2,0.97,1.08,0.7,1.4,0.68,1.39,1.48
traffic_volume_1,1.35,1.07,1.15,1.16,1.18,1.25,1.18,1.4,1.1,1.34,1.4,1.49,1.11,1.09,0.95,1.0,0.52,1.2,1.37,0.81,1.36
