,sky is clear_0,broken clouds_0,few clouds_1,scattered clouds_1,scattered clouds_0,few clouds_0,temp_4,temp_3,temp_5,temp_2,temp_6,traffic_volume_2,traffic_volume_0,traffic_volume_1
sky is clear_0,1.0,0.94,0.82,0.62,0.69,0.66,1.22,1.1,1.06,0.91,0.69,1.04,1.21,0.99
mist_0,,,,,,,1.43,1.24,1.22,,,1.23,1.63,1.33
overcast clouds_2,,1.01,,,,,1.2,1.19,1.39,,,1.74,0.79,1.01
broken clouds_0,0.93,0.97,0.82,,0.74,0.69,1.5,1.28,1.12,,,1.27,1.35,1.19
light rain_0,,,,,,,1.57,1.26,1.36,,,1.37,1.83,1.6
overcast clouds_1,,0.95,,,,,1.22,1.42,1.45,,,1.69,1.25,1.52
few clouds_1,1.13,1.29,1.0,,0.73,,1.27,1.34,1.3,,,1.62,1.0,1.05
overcast clouds_0,,1.07,,,,,1.5,1.32,1.08,,,1.4,1.55,1.59
light intensity drizzle_0,,,,,,,1.5,,,,,1.54,1.81,1.6
broken clouds_1,,,,,,,1.26,1.55,,,,1.67,1.34,1.44
overcast clouds_3,,,,,,,,1.57,,,,,1.26,1.59
moderate rain_0,,,,,,,2.07,,,,,1.66,,
scattered clouds_1,1.52,,,1.0,,,1.35,,,,,1.67,,
mist_3,,,,,,,1.85,,,,,1.93,,
drizzle_0,,,,,,,1.8,,,,,,,
haze_0,,,,,,,,,,,,,,1.53
scattered clouds_0,,,,,,,1.69,,,,,,,
few clouds_0,1.36,,,,,,,,,,,,,
few clouds_2,1.7,,,,,,,,,,,1.76,,
scattered clouds_2,,,,,,,,,,,,,,
mist_1,,,,,,,,,,,,,,
fog_0,,,,,,,,,,,,,,
mist_4,,,,,,,,,,,,,,
scattered clouds_3,,,,,,,,,,,,,,
broken clouds_2,,,,,,,,,,,,,,
heavy snow_0,,,,,,,,,,,,,,
proximity thunderstorm_0,,,,,,,,,,,,,,
heavy intensity rain_0,,,,,,,,,,,,,,
heavy snow_1,,,,,,,,,,,,,,
fog_2,,,,,,,,,,,,,,
snow_0,,,,,,,,,,,,,,
proximity thunderstorm with rain_0,,,,,,,,,,,,,,
proximity shower rain_0,,,,,,,,,,,,,,
heavy intensity drizzle_0,,,,,,,,,,,,,,
thunderstorm with light rain_0,,,,,,,,,,,,,,
temp_4,0.85,0.73,0.81,0.67,0.49,0.55,1.0,0.86,1.12,0.9,,1.09,0.93,0.93
temp_3,0.87,0.79,0.65,0.71,0.51,0.64,1.26,1.01,,0.7,,1.05,1.15,1.12
temp_5,1.1,0.79,0.88,,,,1.08,,0.99,,0.92,1.29,1.0,1.05
temp_2,1.15,1.14,1.29,,0.9,0.68,0.97,1.2,,1.0,,0.82,1.82,1.4
temp_6,1.26,,,,,,,,1.02,,0.98,1.79,,
temp_7,,,,,,,,,,,,,,
traffic_volume_2,0.92,0.78,0.55,0.51,0.78,0.71,0.95,1.0,0.75,1.26,0.44,0.99,1.44,0.95
traffic_volume_0,0.74,0.72,0.93,0.71,0.36,0.44,1.2,0.95,1.2,0.56,,0.84,1.0,1.04
traffic_volume_1,1.01,0.81,0.84,0.76,0.47,0.7,1.08,0.93,1.12,0.54,,1.61,0.78,1.0
