,Clouds,Clear,sky is clear_x,overcast clouds_x,broken clouds_x,few clouds_x,scattered clouds_x,sky is clear_1_x,overcast clouds_2_x,broken clouds_0_x,scattered clouds_0_x,sky is clear_0_x,few clouds_1_x,broken clouds_1_x,overcast clouds_1_x,overcast clouds_0_x,few clouds_0_x,sky is clear_y,overcast clouds_y,broken clouds_y,few clouds_y,scattered clouds_y,sky is clear_1_y,overcast clouds_2_y,broken clouds_0_y,scattered clouds_0_y,sky is clear_0_y,few clouds_1_y,broken clouds_1_y,overcast clouds_1_y,overcast clouds_0_y,few clouds_0_y
0,,,,,,,,,,,,,,,,,,0.88,0.82,0.71,0.81,0.77,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,1.0,1.29,2.08,0.71,0.38,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,1.0,1.29,2.08,0.71,0.38,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,0.63,1.0,0.87,0.0,1.18,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,0.59,0.96,0.95,1.31,1.1,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,1.44,0.0,0.76,1.0,0.68,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,1.85,0.85,0.79,2.07,1.0,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,1.03,0,0,0.81,0.0,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,0,1.11,1.03,0,0.0,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,0.9,0.95,1.08,1.41,1.67,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,1.85,0.85,0.79,2.07,1.0,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,1.37,1.77,2.85,0.84,0.6,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,1.28,0,0,1.11,0,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,0.0,1.81,1.07,0,1.07,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,1.4,1.15,0.97,0.0,0.0,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,0.0,1.48,1.19,0,0.0,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,2.89,0.0,0.87,1.14,0.78,,,,,,,,,,
